material entropic redshift and the rsvp stack	Material: Entropic Redshift and the RSVP Stack	citation-only	1	standardgalactic/alphabet/projects/entropic-redshift-supplement.tex
from verification to commitment histories repair warrants and admissible continuation in agentic systems	From Verification to Commitment: Histories, Repair Warrants, and Admissible Continuation in Agentic Systems	standalone	1	standardgalactic/library/workspace/from-verification-to-commitment.tex
from wave dynamics to continuation dynamics why neural oscillations may be realizations rather than explanations	From Wave Dynamics to Continuation Dynamics: Why Neural Oscillations May Be Realizations Rather Than Explanations	standalone	1	standardgalactic/research-projects/history/wave_to_continuation_dynamics.tex
generative continuation geometry	Generative Continuation Geometry	standalone	2	standardgalactic/computation/generative_continuation_geometry.tex
geodesics of attention cinema gesture and the perceptual manifold	Geodesics of Attention Cinema, Gesture, and the Perceptual Manifold	standalone	1	standardgalactic/alphabet/manuscripts/geodesics_of_attention_v1.tex
geodesics of attention 4pt cinema gesture and the geometry of perception	Geodesics of Attention [4pt] Cinema, Gesture, and the Geometry of Perception	standalone	4	standardgalactic/alphabet/manuscripts/geodesics_of_attention_v2.tex
geometry from entropy flow renormalization plenum dynamics and the emergence of physical structure	Geometry from Entropy Flow: Renormalization, Plenum Dynamics, and the Emergence of Physical Structure	standalone	1	standardgalactic/calculus/rsvp_v4.tex
geometry of spherepop 0 4em a recursive geometry of coherence in the rsvp framework 0 4em with applications to agi safety trust and the paradox of precaution	Geometry of Spherepop 0.4em A Recursive Geometry of Coherence in the RSVP Framework 0.4em With Applications to AGI Safety, Trust, and the Paradox of Precaution	standalone	2	standardgalactic/spherepop/processing/monograph.tex
gesture before symbol recovering latent structure in keyboard input	Gesture Before Symbol: Recovering Latent Structure in Keyboard Input	standalone	2	standardgalactic/research-projects/Aurora/gesture-before-symbol.tex
glossfero and popo safe repository cartography and a grammar for naming under exception	Glossfero and Popo: Safe Repository Cartography and a Grammar for Naming Under Exception	standalone	1	standardgalactic/antivenom/essay/glossfero-essay.tex
goodhart s law as boundary entropy collapse in spherepop a playcosmic interpretation of metric flattening	Goodhart's Law as Boundary Entropy Collapse in Spherepop: A Playcosmic Interpretation of Metric Flattening	standalone	1	standardgalactic/research-projects/goodhart.tex
hallucination is normal a geometric theory of manifold aligned semantic dynamics	Hallucination Is Normal: A Geometric Theory of Manifold-Aligned Semantic Dynamics	standalone	1	standardgalactic/library/Hallucination is Normal.tex
hidden manifolds 0 5em optimal transport accessibility landscapes and the reconstruction of constraint	Hidden Manifolds [0.5em] Optimal Transport, Accessibility Landscapes, and the Reconstruction of Constraint	standalone	1	standardgalactic/alphabet/manuscripts/hidden_manifolds.tex
hierarchical continuation and the geometry of locomotion	Hierarchical Continuation and the Geometry of Locomotion	standalone	2	standardgalactic/robotics/hierarchical_continuation.tex
history before function 4pt compression as the origin of operators	History Before Function [4pt] Compression as the Origin of Operators	standalone	1	standardgalactic/alphabet/example/history-before-function.tex
history as identity the append only algebra of spherepop	History as Identity: The Append-Only Algebra of Spherepop	standalone	3	standardgalactic/spherepop/History as Identity.tex
history preserving and history erasing operators a theory of information retention in continuation processes	History-Preserving and History-Erasing Operators: A Theory of Information Retention in Continuation Processes	standalone	1	standardgalactic/alphabet/pipeline/history_preserving_erasing.tex
homotopy throttles in knowledge amplification sustainable semantic scaling	Homotopy Throttles in Knowledge Amplification: Sustainable Semantic Scaling	standalone	1	standardgalactic/spherepop/processing/adaptive-trust/Adaptive_Trust_Dynamics_Corpus/Cycle2_Renewal/essay_2_11.tex
homotopy and identity a dynamical foundation for upper level ontology	Homotopy and Identity A Dynamical Foundation for Upper-Level Ontology	standalone	1	standardgalactic/research-projects/Homotopy and Identity.tex
homotopy based governance sheaf consistency in recursive futarchies	Homotopy-Based Governance: Sheaf Consistency in Recursive Futarchies	standalone	1	standardgalactic/spherepop/processing/adaptive-trust/Adaptive_Trust_Dynamics_Corpus/Cycle1_Diagnosis/essay_1_18.tex
how ideas work 6pt a book about rules patterns and discovery	How Ideas Work [6pt] A Book About Rules, Patterns, and Discovery	standalone	1	standardgalactic/syllabus/01_how_ideas_work.tex
hyperpleonastic legibility selector fields recoverable information density and civilizational incompressibility	Hyperpleonastic Legibility: Selector Fields, Recoverable Information Density, and Civilizational Incompressibility	standalone	1	standardgalactic/antivenom/essay/hyperpleonastic-legibility.tex
identity collapse and the platforming of fraud a formal and empirical critique of trust degradation in facebook scale systems	Identity Collapse and the Platforming of Fraud: A Formal and Empirical Critique of Trust Degradation in Facebook-Scale Systems	standalone	1	standardgalactic/standardgalactic.github.io/critique/Identity Collapse.tex
identity as event history 0 4em irreversibility commitment and the ontology of irreversible processes	Identity as Event History [0.4em] Irreversibility, Commitment, and the Ontology of Irreversible Processes	standalone	1	standardgalactic/spherepop/identity_as_event_history.tex
identity as event history a worked introduction to spherepop	Identity as Event History: A Worked Introduction to Spherepop	standalone	1	standardgalactic/spherepop/identity_as_event_history-v1.tex
imageless thought 0 35em a field theoretic interpretation of aphantasia anendophasia and embodied stigmergy within the relativistic scalar vector plenum	Imageless Thought [0.35em] A Field-Theoretic Interpretation of Aphantasia, Anendophasia, and Embodied Stigmergy within the Relativistic Scalar--Vector Plenum	standalone	2	standardgalactic/alphabet/aphantasia-essay.tex
indivisibility and entropy in quantum theory wave functions as compression artifacts of a thermodynamic plenum	Indivisibility and Entropy in Quantum Theory Wave Functions as Compression Artifacts of a Thermodynamic Plenum	standalone	1	standardgalactic/library/Indivisibility-and-entropy.tex
inference as constraint closure a variational spectral and sheaf theoretic framework for reconstruction	Inference as Constraint Closure: A Variational, Spectral, and Sheaf-Theoretic Framework for Reconstruction	standalone	1	standardgalactic/kitbash/thesis/constraint_closure.tex
inflation without expansion	Inflation without Expansion	standalone	1	standardgalactic/alphabet/physics/Inflation without Expansion.tex
information entropy and semantic stability abstraction beyond compression	Information, Entropy, and Semantic Stability: Abstraction Beyond Compression	standalone	1	standardgalactic/research-projects/epistemology/spherepop/Semantic-Stability.tex
institutional cosmology entropy equations for organizational longevity	Institutional Cosmology: Entropy Equations for Organizational Longevity	standalone	1	standardgalactic/spherepop/processing/adaptive-trust/Adaptive_Trust_Dynamics_Corpus/Cycle2_Renewal/essay_2_15.tex
instrumented illegibility epistemic tooling semantic impedance and the design of non didactic interfaces	Instrumented Illegibility: Epistemic Tooling, Semantic Impedance, and the Design of Non-Didactic Interfaces	standalone	1	standardgalactic/research-projects/epistemology/Epistemic-Tooling.tex
intelligence is a trajectory	Intelligence Is a Trajectory	standalone	1	standardgalactic/library/Intelligence Is a Trajectory.tex
intelligence under constraint construction legibility and boundary conditions	Intelligence Under Constraint: Construction, Legibility, and Boundary Conditions	standalone	1	standardgalactic/library/intelligence-under-constraint.tex
intelligence as perspectival convergence	Intelligence as Perspectival Convergence	standalone	1	standardgalactic/research-projects/admissibility-lab/processing/intelligence-as-perspectival-convergence.tex
intelligence as structural compression a theory of mind recognition via effective assembly	Intelligence as Structural Compression: A Theory of Mind Recognition via Effective Assembly	standalone	2	standardgalactic/research-projects/epistemology/intelligence-as-structural-compression.tex
interface analysis stars planet screen	Interface Analysis: Stars! Planet Screen	standalone	1	standardgalactic/cosmology/interface-analysis.tex
interface ecologies motor language process invocation and computational universality	Interface Ecologies: Motor Language, Process Invocation, and Computational Universality	standalone	2	standardgalactic/calculus/interface_ecologies.tex
interface opacity and the suppression of agency dark patterns in contemporary ai interaction	Interface Opacity and the Suppression of Agency: Dark Patterns in Contemporary AI Interaction	standalone	1	standardgalactic/antivenom/Interface-opacity.tex
interpretive temperature in automated narratives yarncrawler for coherent generation	Interpretive Temperature in Automated Narratives: Yarncrawler for Coherent Generation	standalone	1	standardgalactic/spherepop/processing/adaptive-trust/Adaptive_Trust_Dynamics_Corpus/Cycle2_Renewal/essay_2_14.tex
introducción a spherepop un cálculo de historia de eventos	Introducción a Spherepop Un cálculo de historia de eventos	standalone	2	standardgalactic/spherepop/Introducción a Spherepop.tex
irreversibility as architecture physics computation and the limits of transformation	Irreversibility as Architecture: Physics, Computation, and the Limits of Transformation	standalone	1	standardgalactic/research-projects/Irreversibility as Architecture.tex
irreversibility as structure a scalar vector entropy framework for physical law	Irreversibility as Structure: A Scalar--Vector--Entropy Framework for Physical Law	standalone	1	standardgalactic/Centerfuge/framework/Irreversibility as Structure.tex
irreversible dynamics of entropic manifolds	Irreversible Dynamics of Entropic Manifolds	standalone	1	standardgalactic/research-projects/Irreversible-dynamics.tex
irreversible histories as ontological primitives a constraint first foundation for dynamic ontologies	Irreversible Histories as Ontological Primitives: A Constraint-First Foundation for Dynamic Ontologies	standalone	1	standardgalactic/kitbash/irreversible-histories.tex
joint embedding predictive architectures as amortized constraint satisfaction in the relativistic scalar vector plenum	Joint Embedding Predictive Architectures as Amortized Constraint Satisfaction in the Relativistic Scalar--Vector Plenum	standalone	1	standardgalactic/standardgalactic/rsvp-jepa.tex
language is not a lookup table 0 5em on generativity combinatorics and the poverty of phrase based authorship detection	Language Is Not a Lookup Table [0.5em] On Generativity, Combinatorics, and the Poverty of Phrase-Based Authorship Detection	standalone	1	standardgalactic/spherepop/textbook/language_as_generator.tex
language as constraint field grammar repair and admissibility in semantic manifolds	Language as Constraint Field Grammar, Repair, and Admissibility in Semantic Manifolds	standalone	1	standardgalactic/alphabet/research/language_as_constraint_field.tex
local tractability and global dysfunction institutional mediation epistemic efficiency and the rationality of non intervention	Local Tractability and Global Dysfunction Institutional Mediation, Epistemic Efficiency, and the Rationality of Non-Intervention	standalone	1	standardgalactic/research-projects/Local Tractability and Global Dysfunction.tex
lower vertebrates structure constraint and the material basis of form	Lower Vertebrates: Structure, Constraint, and the Material Basis of Form	standalone	1	standardgalactic/library/processing/lower-vertebrates.tex
magnetic fluidic computing 0 3em circulation admissibility and the architecture of trajectory	Magnetic Fluidic Computing [0.3em] Circulation, Admissibility, and the Architecture of Trajectory	standalone	1	standardgalactic/library/computing/magnetic-fluidic-computing.tex
markedness and capability a theory of downward projection	Markedness and Capability: A Theory of Downward Projection	standalone	1	standardgalactic/standardgalactic/epistemology/markedness_capability.tex
master portfolio interdisciplinary projects in physics computation and semantics	Master Portfolio: Interdisciplinary Projects in Physics, Computation, and Semantics	standalone	5	standardgalactic/gamma-waves/monograph/monograph.tex
mathematical proof for the existence of god 0 3em a study in constraint theology	Mathematical Proof for the Existence of God [0.3em] A Study in Constraint Theology	standalone	1	standardgalactic/paracosm/workspace/proof-of-god.tex
mechanistic interpretability as causal reverse engineering	Mechanistic Interpretability as Causal Reverse Engineering	standalone	1	standardgalactic/research-projects/interpretability/Mechanistic Interpretability.tex
memeplexes as collectively autocatalytic sets of theory laden facts with rsvp embedding hypergraph extension and global stability analysis	Memeplexes as Collectively Autocatalytic Sets of Theory-Laden Facts — with RSVP embedding, hypergraph extension, and global stability analysis	standalone	1	standardgalactic/typing-tutor/essay/memeplexes.tex
merger coordinate and legibility why ensemble casts fail to cohere	Merger, Coordinate, and Legibility: Why Ensemble Casts Fail to Cohere	standalone	1	standardgalactic/alphabet/pipeline/merger_coordinate_legibility.tex
merit without mercy functional reduction organizational blindness and the end of human justification	Merit Without Mercy: Functional Reduction, Organizational Blindness, and the End of Human Justification	standalone	1	standardgalactic/library/Merit without Mercy.tex
mesoscale matter as constrained field dynamics 4pt a unified framework for structure transport and function	Mesoscale Matter as Constrained Field Dynamics [4pt] A Unified Framework for Structure, Transport, and Function	standalone	1	standardgalactic/calculus/mesoscale_matter.tex
mind at work detecting agency through assembly and action	Mind at Work: Detecting Agency through Assembly and Action	standalone	8	standardgalactic/alphabet/essay/monograph.tex
modal editing compositional constraint in text interaction	Modal Editing: Compositional Constraint in Text Interaction	standalone	1	peterlodri-sec/vim-philosophy/essays/modal-editing.tex
monetizing uncertainty institutional foreseeability and the political economy of platform fraud	Monetizing Uncertainty: Institutional Foreseeability and the Political Economy of Platform Fraud	standalone	1	standardgalactic/antivenom/Monetizing Uncertainty.tex
monod inspired stochastic revision models for document evolution generative writing dynamics and visualization pipelines	Monod-Inspired Stochastic Revision Models for Document Evolution, Generative Writing Dynamics, and Visualization Pipelines	standalone	1	standardgalactic/research-projects/textmonod-essay/monograph.tex
motor phonology and symbolic reachability keyboards scripts and the generative minimum	Motor Phonology and Symbolic Reachability: Keyboards, Scripts, and the Generative Minimum	standalone	1	standardgalactic/research-projects/admissibility-lab/motor_phonology.tex
multi scale temporal dynamics in agency detection from assembly to forest scale cognition	Multi-Scale Temporal Dynamics in Agency Detection: From Assembly to Forest-Scale Cognition	standalone	1	standardgalactic/spherepop/processing/adaptive-trust/Adaptive_Trust_Dynamics_Corpus/Cycle1_Diagnosis/essay_1_16.tex
narrative coherence in media ecologies operator dynamics for generative stories	Narrative Coherence in Media Ecologies: Operator Dynamics for Generative Stories	standalone	1	standardgalactic/spherepop/processing/adaptive-trust/Adaptive_Trust_Dynamics_Corpus/Cycle2_Renewal/essay_2_13.tex
negation before logic inferential fields orientation reversal and the geometry of admissible inference	Negation Before Logic: Inferential Fields, Orientation Reversal, and the Geometry of Admissible Inference	standalone	1	standardgalactic/spherepop/textbook/negation-before-logic.tex
negative one indexing on intentional regression cognitive safety and the ethics of deletion	Negative One Indexing: On Intentional Regression, Cognitive Safety, and the Ethics of Deletion	standalone	1	standardgalactic/antivenom/Negative One Indexing.tex
negentropic care in ai evolution spectrum thresholds for mutual adaptation	Negentropic Care in AI Evolution: Spectrum Thresholds for Mutual Adaptation	standalone	1	standardgalactic/spherepop/processing/adaptive-trust/Adaptive_Trust_Dynamics_Corpus/Cycle2_Renewal/essay_2_17.tex
negentropic shocks in institutional renewal overcoming hysteresis in bureaucratic systems	Negentropic Shocks in Institutional Renewal: Overcoming Hysteresis in Bureaucratic Systems	standalone	1	standardgalactic/spherepop/processing/adaptive-trust/Adaptive_Trust_Dynamics_Corpus/Cycle2_Renewal/essay_2_01.tex
neural commit semantics and the algebraic structure of language	Neural Commit Semantics and the Algebraic Structure of Language	standalone	2	standardgalactic/alphabet/Neural Commit Semantics.tex
neurogeometric phase alignment amplitwist applications in cognitive interfaces	Neurogeometric Phase Alignment: Amplitwist Applications in Cognitive Interfaces	standalone	1	standardgalactic/spherepop/processing/adaptive-trust/Adaptive_Trust_Dynamics_Corpus/Cycle2_Renewal/essay_2_09.tex
never predict noise manifold aligned prediction as generative inference	Never Predict Noise: Manifold-Aligned Prediction as Generative Inference	standalone	5	standardgalactic/alphabet/Never-Predict-Noise.tex
non markovian generative influence a unified framework for cognition cosmology and spectroscopy	Non-Markovian Generative Influence: A Unified Framework for Cognition, Cosmology, and Spectroscopy	standalone	1	standardgalactic/kitbash/cosmology/generative_memory.tex
normalization without convergence 6pt large language models linguistic entropy and the myth of cognitive homogenization	Normalization Without Convergence: [6pt] Large Language Models, Linguistic Entropy, and the Myth of Cognitive Homogenization	standalone	2	standardgalactic/alphabet/manuscripts/normalization_without_convergence.tex
noumenal attractors 0 6em swedenborg kant and the rsvp field a unified interpretation across cognition ontology generative systems and the metacrisis	Noumenal Attractors [0.6em] Swedenborg, Kant, and the RSVP Field: A Unified Interpretation Across Cognition, Ontology, Generative Systems, and the Metacrisis	standalone	1	standardgalactic/alphabet/screenplay/noumenal-attractors.tex
noun free cognition difficulty abstraction and the mobility of computation	Noun-Free Cognition: Difficulty, Abstraction, and the Mobility of Computation	standalone	1	standardgalactic/research-projects/Noun-Free Cognition.tex
obstruction cohomology and the topology of failure constraint closure across differential recursive and semantic regimes	Obstruction Cohomology and the Topology of Failure Constraint Closure Across Differential, Recursive, and Semantic Regimes	standalone	2	standardgalactic/alphabet/research/obstruction-cohomology.tex
on gaudiness taste as expressive restraint	On Gaudiness Taste as Expressive Restraint	standalone	1	standardgalactic/kitbash/On Gaudiness.tex
on the formation of structural ideas constraint accumulation projection and convergence across domains	On the Formation of Structural Ideas: Constraint Accumulation, Projection, and Convergence Across Domains	standalone	2	standardgalactic/standardgalactic/research/structural_ideas.tex
operator ecology	Operator Ecology	standalone	1	standardgalactic/kitbash/workspace/operator-ecology.tex
operator ecology in generative cinema coherence beyond chokepoints	Operator Ecology in Generative Cinema: Coherence Beyond Chokepoints	standalone	1	standardgalactic/spherepop/processing/adaptive-trust/Adaptive_Trust_Dynamics_Corpus/Cycle1_Diagnosis/essay_1_13.tex
operator ecology linking rsvp simulated agency and semantic infrastructure	Operator Ecology: Linking RSVP, Simulated Agency, and Semantic Infrastructure	standalone	1	standardgalactic/alphabet/manuscripts/operator-ecology/essay.tex
optimization without restraint 0 5em gradient amplification and extractive convergence in digital platform systems	Optimization Without Restraint [0.5em] Gradient Amplification and Extractive Convergence in Digital Platform Systems	standalone	1	standardgalactic/antivenom/Optimization without Restraint.tex
order and obfuscation 0 5em abstraction layering and the architecture of computation	Order and Obfuscation [0.5em] Abstraction, Layering, and the Architecture of Computation	standalone	1	standardgalactic/research-projects/Order and Obfuscation.tex
orthodromic infrastructure blueprint 0 5em a long term architectural specification for civil convergence	Orthodromic Infrastructure Blueprint [0.5em] A Long-Term Architectural Specification for Civil Convergence	standalone	2	standardgalactic/kitbash/geometry-as-computational-infrastructure.tex
ownership without understanding obstruction deskilling and the sheaf theoretic geometry of extraction	Ownership Without Understanding: Obstruction, Deskilling, and the Sheaf-Theoretic Geometry of Extraction	standalone	1	standardgalactic/antivenom/projects/ownership-without-understanding.tex
polyxan rsvp starspace a formal specification for a xanadu rsvp social hyperstructure with multi galaxy semantic dynamics and generative field algorithms	POLYXAN--RSVP STARSPACE A Formal Specification for a Xanadu--RSVP Social Hyperstructure with Multi-Galaxy Semantic Dynamics and Generative Field Algorithms	standalone	1	standardgalactic/research-projects/polyxan-starspace-specification.tex
paperbot parliament a multi agent framework for distinction centered document analysis 0 6em concept formal theory algorithm and first experimental run	Paperbot Parliament: A Multi-Agent Framework for Distinction-Centered Document Analysis [0.6em] Concept, Formal Theory, Algorithm, and First Experimental Run	standalone	2	standardgalactic/kitbash/paperbot/paperbot-parliament.tex
paradox of precaution 0 3em how agi safety could erode human trust 0 3em a thermodynamic theory of mutual corrigibility 0 3em extended version	Paradox of Precaution 0.3em How AGI Safety Could Erode Human Trust 0.3em A Thermodynamic Theory of Mutual Corrigibility 0.3em Extended Version	standalone	1	standardgalactic/kitbash/paradox-of-precaution.tex
parenthetical asides 0 3em nested scope in conversation games stories and music	Parenthetical Asides [0.3em] Nested Scope in Conversation, Games, Stories, and Music	standalone	1	standardgalactic/calculus/processing/parenthetical-asides.tex
parliament on a plenum 0 4em augmenting paperbot parliament with hydra architecture	Parliament on a Plenum [0.4em] Augmenting Paperbot Parliament with HYDRA Architecture	standalone	1	standardgalactic/kitbash/paperbot/parliament_hydra.tex
participation without guarantee a field theoretic critique of upwork as a probabilistic marketplace	Participation Without Guarantee: A Field-Theoretic Critique of Upwork as a Probabilistic Marketplace	standalone	1	standardgalactic/antivenom/economics/participation_without_guarantee.tex
persistence before efficiency a constraint first theory of civilization	Persistence Before Efficiency A Constraint-First Theory of Civilization	standalone	1	standardgalactic/research-projects/Persistence Before Efficiency.tex
persistence without reachability a reading of aniara through the sociology of unreachable futures	Persistence Without Reachability A Reading of Aniara Through the Sociology of Unreachable Futures	standalone	1	standardgalactic/cognition-research/persistence-without-reachability.tex
phase lock collapse in collaborative ai entropy bounds on multi model consensus	Phase-Lock Collapse in Collaborative AI: Entropy Bounds on Multi-Model Consensus	standalone	1	standardgalactic/spherepop/processing/adaptive-trust/Adaptive_Trust_Dynamics_Corpus/Cycle2_Renewal/essay_2_02.tex
physics after spacetime deriving physical law from irreversible entropy flow	Physics After Spacetime Deriving Physical Law from Irreversible Entropy Flow	standalone	1	standardgalactic/research-projects/Physics After Spacetime.tex
planetary autocatalysis hierarchical selection entropy fields and the emergence of complexity	Planetary Autocatalysis: Hierarchical Selection, Entropy Fields, and the Emergence of Complexity	standalone	4	standardgalactic/library/geology/paper.tex
plenumhub polyxan toward a source first publishing substrate	PlenumHub / Polyxan Toward a Source-First Publishing Substrate	standalone	3	standardgalactic/antivenom/resources/plenumhub-polyxan.tex
plenumhub a formal semantic compute substrate for modular knowledge systems	PlenumHub: A Formal Semantic Compute Substrate for Modular Knowledge Systems	standalone	2	standardgalactic/research-projects/plenumhub_repo/paper/PlenumHub.tex
plenumhub typed semantic calculus stage 1	PlenumHub: Typed Semantic Calculus (Stage 1)	standalone	1	standardgalactic/research-projects/paper/typed_calculus.tex
policy alignment via homotopy governance in layered recursions	Policy Alignment via Homotopy: Governance in Layered Recursions	standalone	1	standardgalactic/spherepop/processing/adaptive-trust/Adaptive_Trust_Dynamics_Corpus/Cycle2_Renewal/essay_2_18.tex
polyglot modular computation via sheaf cohomology a monumental categorical treatise with historical computational and epistemic depth	Polyglot Modular Computation via Sheaf Cohomology: A Monumental Categorical Treatise with Historical, Computational, and Epistemic Depth	standalone	2	standardgalactic/Centerfuge/essay/monograph.tex
prediction before interpretation a criterion for field like constructs in complex systems	Prediction Before Interpretation: A Criterion for Field-Like Constructs in Complex Systems	standalone	1	standardgalactic/calculus/experiments/prediction-before-interpretation.tex
prefigurative play as pre compilable affordance spheres in spherepop a playcosmic formalization	Prefigurative Play as Pre-Compilable Affordance Spheres in Spherepop: A Playcosmic Formalization	standalone	1	standardgalactic/research-projects/prefigurative-spherepop.tex
preliminary analysis of developer activity and language ecosystems in a large github follow network	Preliminary Analysis of Developer Activity and Language Ecosystems in a Large GitHub Follow Network	standalone	1	standardgalactic/research-projects/analysis/github_activity-2.tex
presheaf repair in fragmented cognition operator ecology for mental integration	Presheaf Repair in Fragmented Cognition: Operator Ecology for Mental Integration	standalone	1	standardgalactic/spherepop/processing/adaptive-trust/Adaptive_Trust_Dynamics_Corpus/Cycle2_Renewal/essay_2_05.tex
primordial distinctions and cosmological memory galactic spin as persistence under transformation	Primordial Distinctions and Cosmological Memory: Galactic Spin as Persistence Under Transformation	standalone	1	standardgalactic/cognition-research/cosmological-memory.tex
procedural ontology the metaphysics of code generation a relativistic scalar vector plenum rsvp essay	Procedural Ontology: The Metaphysics of Code Generation A Relativistic Scalar--Vector Plenum (RSVP) Essay	standalone	2	standardgalactic/alphabet/example/procedural-ontology.tex
proof of the anti admissibility theorem via composed ritual and cryptographic resistances in spherepop calculus	Proof of the Anti-Admissibility Theorem via Composed Ritual and Cryptographic Resistances in Spherepop Calculus	standalone	1	standardgalactic/research-projects/proof.tex
proxy permanence failure 0 4em carbon governance biodiversity and the collapse of admissibility under nonstationary constraint fields 0 6em a theoretical analysis via the rsvp tartan clio framework	Proxy Permanence Failure [0.4em] Carbon Governance, Biodiversity, and the Collapse of Admissibility Under Nonstationary Constraint Fields [0.6em] A Theoretical Analysis via the RSVP--TARTAN--CLIO Framework	standalone	1	standardgalactic/antivenom/persistence/proxy_permanence_failure.tex
punitive signals in socio symbolic fields a rsvp intervention for governance reform	Punitive Signals in Socio-Symbolic Fields: A RSVP Intervention for Governance Reform	standalone	1	standardgalactic/spherepop/processing/adaptive-trust/Adaptive_Trust_Dynamics_Corpus/Cycle1_Diagnosis/essay_1_08.tex
quantum mechanics from admissible probabilistic composition a reconstruction via unistochastic matrices	Quantum Mechanics from Admissible Probabilistic Composition A Reconstruction via Unistochastic Matrices	standalone	1	standardgalactic/calculus/quantum-mechanics/unistochastic-qm/main.tex
quiet battlefield algorithmic governance and the violence of the mundane	Quiet Battlefield: Algorithmic Governance and the Violence of the Mundane	standalone	1	standardgalactic/antivenom/opinion/quiet_battlefield.tex
rsvp codex the zero day exploits series algebraic geometric categorical and sheaf theoretic essays on the plenum	RSVP Codex: The Zero Day Exploits Series Algebraic, Geometric, Categorical, and Sheaf-Theoretic Essays on the Plenum	standalone	2	standardgalactic/paracosm/preamble.tex
rsvp dynamics scalar vector entropy fields observer holography and the architecture of synthetic cognition 6pt a unified mathematical and philosophical monograph incorporating the rsvp labs 1 40	RSVP Dynamics: Scalar--Vector--Entropy Fields, Observer Holography, and the Architecture of Synthetic Cognition [6pt] A Unified Mathematical and Philosophical Monograph Incorporating the RSVP Labs 1--40	standalone	1	standardgalactic/research-projects/labs/monograph/monograph.tex
rsvp study guide a comprehensive framework for relativistic scalar vector plenum	RSVP Study Guide: A Comprehensive Framework for Relativistic Scalar Vector Plenum	standalone	6	standardgalactic/kitbash/physics/RSVP_Study_Guide (1).tex
rsvp polyxan unified hyperstructure 0 5em a field theoretic categorical computational and verification framework for semantic galaxies	RSVP--POLYXAN UNIFIED HYPERSTRUCTURE: [0.5em] A Field-Theoretic, Categorical, Computational, and Verification Framework for Semantic Galaxies	standalone	1	standardgalactic/research-projects/to_process/main_02.tex
rsvp polyxan a unified field theory of semantic hyperstructures	RSVP--Polyxan: A Unified Field Theory of Semantic Hyperstructures	standalone	2	standardgalactic/research-projects/polyxan-semantic-hyperstructure.tex
radiative switch computation 4pt computation as containment	Radiative Switch Computation [4pt] Computation as Containment	standalone	1	standardgalactic/computation/radiative-switch/radiative_switch_computation.tex
reality is what can be reached reachability identification and the limits of abstraction	Reality Is What Can Be Reached: Reachability, Identification, and the Limits of Abstraction	standalone	1	standardgalactic/research-projects/philosophy/reality_reachability.tex
recency as salience observable distance as a proxy for relational distance	Recency as Salience: Observable Distance as a Proxy for Relational Distance	standalone	1	standardgalactic/research-projects/interpretability/recency-as-salience.tex
recursive agency and the geometry of the relativistic scalar vector plenum a unified field theory of representation semantics and computational life	Recursive Agency and the Geometry of the Relativistic Scalar--Vector Plenum: A Unified Field Theory of Representation, Semantics, and Computational Life	standalone	1	standardgalactic/research-projects/recursive-agency/monograph.tex
recursive amplification in semantic infrastructure throttling for sustainable scaling	Recursive Amplification in Semantic Infrastructure: Throttling for Sustainable Scaling	standalone	1	standardgalactic/spherepop/processing/adaptive-trust/Adaptive_Trust_Dynamics_Corpus/Cycle1_Diagnosis/essay_1_11.tex
redshift and the rsvp stack a unified field ontology for cosmos mind and society	Redshift and the RSVP Stack: A Unified Field Ontology for Cosmos, Mind, and Society	standalone	1	standardgalactic/alphabet/projects/entropic-redshift-slides.tex
reflexive field dynamics a lagrangian theory of mind	Reflexive Field Dynamics: A Lagrangian Theory of Mind	standalone	3	standardgalactic/library/physics/monograph/essay.tex
reflexive field dynamics a lagrangian theory of mind to be assigned upon publication	Reflexive Field Dynamics: A Lagrangian Theory of Mind: To be assigned upon publication	standalone	1	standardgalactic/library/physics/monograph/incomplete.tex
relativistic scalar vector plenum unified encodings across physics cognition and semantic systems	Relativistic Scalar Vector Plenum: Unified Encodings Across Physics, Cognition, and Semantic Systems	standalone	3	standardgalactic/alphabet/framework/unified-encodings.tex
renormalization asymptotic safety and the scalar vector plenum 0 8em a mathematical introduction	Renormalization, Asymptotic Safety, and the Scalar-Vector Plenum [0.8em] A Mathematical Introduction	standalone	2	standardgalactic/kitbash/prereq_textbook.tex
repair categories and the local geometry of continuation	Repair Categories and the Local Geometry of Continuation	standalone	2	standardgalactic/research-projects/history/repair-categories.tex
repair as a fundamental category toward an ontology of restoration	Repair as a Fundamental Category Toward an Ontology of Restoration	standalone	1	standardgalactic/alphabet/research/repair_as_fundamental.tex
repair not reconstruction on the structure of reinforcement learning adaptation in transformers	Repair, Not Reconstruction: On the Structure of Reinforcement-Learning Adaptation in Transformers	standalone	1	standardgalactic/calculus/processing/repair-not-reconstruction.tex
repairing futures 0 6em admissible continuation historical reconstruction and diffusion based physical simulation	Repairing Futures [0.6em] Admissible Continuation, Historical Reconstruction, and Diffusion-Based Physical Simulation	standalone	1	standardgalactic/spherepop/textbook/repairing-futures.tex
replay and invariance toward a structural geometry of semantic systems	Replay and Invariance: Toward a Structural Geometry of Semantic Systems	standalone	1	standardgalactic/research-projects/epistemology/spherepop/Replay-and-Invariance.tex
replayable construction and the computational basis of abstraction	Replayable Construction and the Computational Basis of Abstraction	standalone	1	standardgalactic/research-projects/epistemology/spherepop/Replayable-Construction.tex
